"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30823.482503317","32222.6581717097","32986.5418811497","34336.5539640921","35984.8294174309","35780.7228338246","35125.9271123376","36479.9418385732","36105.2601768456","35495.2485725969","37241.0304977201","38123.3423828494","37309.7879457867","37353.5586833002","39713.8466703421","39166.1337914332","39146.9093433145","39866.7155996626","40096.781454969","34978.0091392753","33639.3961838994","34446.8568911293","33815.1093359046","35720.6981109098","35467.2357639234","36490.5244570947","37043.6981523794","38865.188195117","40706.7492161559","40780.5164846798","33155.2432392602","38866.3334861967","",
"Africa Eastern and Southern","AFE","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3037.29746611811","2955.6422383964","2823.94036641","2737.73124007534","2715.13111572038","2764.30501682708","2838.69202923462","2886.5662346724","2867.96024335881","2873.553735076","2897.14084131096","2928.06294631739","2966.03980619626","2985.91855148687","3075.54623017324","3185.39412330976","3310.51500785245","3440.84124639664","3501.83805139738","3431.17802938128","3513.31591991381","3558.37852760954","3543.82494589859","3593.29906466878","3642.87537285488","3658.53358807156","3654.57881507825","3659.05909693489","3661.36056587341","3648.22030166291","3455.02311899819","3519.17483992362","3553.91337005893",
"Afghanistan","AFG","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1280.46317065778","1292.33343722938","1260.06058051982","1352.3206265475","1366.99314578093","1528.34457777944","1556.84445154502","1823.74261448512","2026.16381797997","1961.09631655741","2122.83075870676","2165.3409147556","2144.44963352063","2108.71417281186","2101.42218654807","2096.09311055337","2060.69897292797","2079.92186098824","1968.34100152116","1517.0162662229","",
"Africa Western and Central","AFW","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2788.30103894435","2750.79076388509","2743.8555611143","2644.70968296665","2575.06417659633","2561.66544591616","2612.19479496442","2654.3849272833","2676.52984460547","2649.55585351978","2671.59918784813","2734.25763304357","2907.98338951925","2982.70833691035","3128.29669586313","3217.70238973754","3296.95276408013","3379.55207890338","3491.54742047565","3599.35154199451","3737.50671020792","3811.76037594602","3901.72482947444","4026.2319164525","4146.99462180886","4148.54727198144","4055.94325375302","4051.27119923512","4064.07989390502","4093.44285283557","3957.93380409318","4014.60796510519","4063.85769053894",
"Angola","AGO","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5793.08451204045","5659.11932966026","5158.38383522696","3799.19489892034","3728.88619855212","4149.44573355063","4557.14777393147","4728.29234231606","4790.4186097768","4739.50963904534","4728.37436813592","4768.00889397813","5241.82058742633","5217.39051918638","5589.23793566635","6204.58875174683","6677.01974008672","7340.38890911247","7866.1843445505","7646.1443576293","7689.82073536757","7663.28605266516","8011.05009506366","8099.67882846483","8183.1645766116","7966.88555561333","7487.92509764052","7216.06137267002","6878.59002526807","6602.26921128365","6029.69189495339","5911.83565738445","5906.11567677033",
"Albania","ALB","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4827.02770509029","3496.36962587578","3264.82075682893","3598.81026672314","3921.61497019167","4471.60170207133","4908.93239201987","4400.31275393017","4819.06783239106","5474.84991414145","5892.58219111228","6441.44069815766","6753.88119038837","7153.99539943323","7580.12811430816","8040.08137703705","8568.54973366905","9150.11682057848","9912.14847022049","10313.9017112262","10749.4664263474","11052.7779347342","11227.95040747","11361.2524918298","11586.8174458823","11878.4376020777","12291.8420601944","12770.9918634405","13317.1192636809","13653.182207385","13278.3697687086","14595.9443859543","15501.6629314635",
"Andorra","AND","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9683.2279364291","9725.85195344582","9944.56175165412","9936.33958285918","9954.22453139572","9975.53045817294","10193.8457546062","10393.1723321129","10685.0581721756","10654.9442452753","11082.7422537752","11031.1690585176","10857.6120378897","11148.020223534","11830.872211766","12190.3985574367","12577.7850142796","12806.2081520529","13164.4449291065","12892.3313488262","13162.0296054974","13329.3846881013","13788.1720307171","13836.2234909352","13872.2273009804","14148.5282388362","14388.8592501671","14332.3535242912","14420.0122453025","14358.1691157073","13466.4897554366","13745.2061836082","14324.3965711509",
"United Arab Emirates","ARE","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105893.626059104","101048.696239403","99106.7916400779","95524.4569259644","97475.9808540881","99510.3506804258","99602.6174183566","100956.706466506","95185.305822223","92368.8132654848","96835.8888266482","93106.2021350675","90661.7251515508","93989.9598473636","98342.2366283482","96188.1280061936","92323.562777997","79468.9954686407","68909.610262662","57094.786147925","54664.6117417572","57815.1702559273","59949.2445749147","62354.8232032173","64334.0915520489","68076.635890898","71244.5858148165","71182.3707169574","71550.5543320291","71782.1538362575","67668.2866413265","69733.7937743538","74299.0129804715",
"Argentina","ARG","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14136.5254005803","15209.4876309646","16190.510705998","17282.9649904397","18046.8929182229","17303.9238485647","18031.5481912295","19261.8986222468","19773.1763655293","18884.9431117375","18524.8096075258","17514.5041008813","15439.7446333669","16631.5739769268","17950.1512818383","19338.1461909357","20679.243097676","22316.2555259104","22992.390179143","21413.2831164661","23521.2701750961","24647.6292739541","24118.8675158912","24424.1364465071","23550.0990599374","23933.8866120953","23189.5274451329","23597.117752839","22747.2416575831","22071.7480998394","19685.215869505","21527.1961367015","22447.0884757637",
